Nom de la commune;Code Postal;Département
AAST;64460;PYRENEES ATLANTIQUES
ABAINVILLE;55130;MEUSE
ABANCOURT;59265;NORD
ABANCOURT;60220;OISE
ABAUCOURT;54610;MEURTHE ET MOSELLE
ABAUCOURT HAUTECOURT;55400;MEUSE
ABBANS DESSOUS;25320;DOUBS
ABBANS DESSUS;25440;DOUBS
ABBARETZ;44170;LOIRE ATLANTIQUE
ABBAZIA;20243;CORSE
ABBECOURT;60430;OISE
ABBECOURT;02300;AISNE
ABBENANS;25340;DOUBS
ABBEVILLE;80132;SOMME
ABBEVILLE;80100;SOMME
ABBEVILLE LA RIVIERE;91150;ESSONNE
ABBEVILLE LES CONFLANS;54800;MEURTHE ET MOSELLE
ABBEVILLE ST LUCIEN;60480;OISE
ABBEVILLERS;25310;DOUBS
ABEILHAN;34290;HERAULT
ABELCOURT;70300;HAUTE SAONE
ABERE;64160;PYRENEES ATLANTIQUES
ABERGEMENT LA RONCE;39500;JURA
ABERGEMENT LE GRAND;39600;JURA
ABERGEMENT LE PETIT;39800;JURA
ABERGEMENT LES THESY;39110;JURA
ABERGEMENT ST JEAN;39120;JURA
ABERWRACH;29870;FINISTERE
ABIDOS;64150;PYRENEES ATLANTIQUES
ABILLY;37160;INDRE ET LOIRE
ABITAIN;64390;PYRENEES ATLANTIQUES
ABJAT SUR BANDIAT;24300;DORDOGNE
ABLAIN ST NAZAIRE;62153;PAS DE CALAIS
ABLAINCOURT PRESSOIRE;80320;SOMME
ABLAINZEVELLE;62116;PAS DE CALAIS
ABLANCOURT;51240;MARNE
ABLEIGES;95450;VAL D'OISE
ABLIS;78660;YVELINES
ABLON;14600;CALVADOS
ABLON SUR SEINE;94480;VAL DE MARNE
ABOEN;42380;LOIRE
ABONCOURT;57920;MOSELLE
ABONCOURT;54115;MEURTHE ET MOSELLE
ABONCOURT GESINCOURT;70500;HAUTE SAONE
ABONCOURT SUR SEILLE;57590;MOSELLE
ABONDANCE;74360;HAUTE SAVOIE
ABONDANT;28570;EURE ET LOIR
ABOS;64360;PYRENEES ATLANTIQUES
ABRESCHVILLER;57560;MOSELLE
ABREST;03200;ALLIER
ABRIES;05460;HAUTES ALPES
ABSCON;59215;NORD
ABZAC;33230;GIRONDE
ABZAC;16500;CHARENTE
ACCOLANS;25250;DOUBS
ACCOLAY;89460;YONNE
ACCONS;07160;ARDECHE
ACCOUS;64490;PYRENEES ATLANTIQUES
ACHAIN;57340;MOSELLE
ACHEN;57410;MOSELLE
ACHENHEIM;67204;BAS RHIN
ACHERES;78260;YVELINES
ACHERES;18250;CHER
ACHERES LA FORET;77760;SEINE ET MARNE
ACHERY;02800;AISNE
ACHEUX EN AMIENOIS;80560;SOMME
ACHEUX EN VIMEU;80210;SOMME
ACHEVILLE;62320;PAS DE CALAIS
ACHEY;70180;HAUTE SAONE
ACHICOURT;62217;PAS DE CALAIS
ACHIET LE GRAND;62121;PAS DE CALAIS
ACHIET LE PETIT;62121;PAS DE CALAIS
ACHUN;58110;NIEVRE
ACHY;60690;OISE
ACIGNE;35690;ILLE ET VILAINE
ACLOU;27800;EURE
ACON;27570;EURE
ACOUA;97600;MAYOTTE
ACQ;62144;PAS DE CALAIS
ACQUEVILLE;14220;CALVADOS
ACQUEVILLE;50440;MANCHE
ACQUIGNY;27400;EURE
